ID,Nama Laptop,Seri ,Processor,Graphic Card,Storage ,RAM,OS,Harga,Port ,Image,category(nama brand),Panel layar,Refresh rate,Heavy
135,HP 14S-DQ4029TU,8F103PA,Intel Core i5 1155G7,Intel Iris Xe Graphics,512 GB ,8 GB ,Windows 11,"Rp8.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate;",Essentials 6,HP,"(14"") diagonal, FHD (1920 x 1080), IPS",60Hz,1.46kg
136,HP 14S-FQ1009AU,94B54PA,AMD Ryzen 3 5300U,AMD Radeon Graphics,512 GB ,8 GB ,Windows 11,"Rp6.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate;",Essentials 7,HP,"(14"") diagonal, FHD (1920 x 1080), IPS",60Hz,1.47kg
137,HP 14S-FQ0562AU,671P2PA,AMD Athlon Silver 3050U,AMD Radeon Graphics,512 GB ,4 GB,Windows 11,"Rp5.099.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate;",Essentials 8,HP,"(14"") diagonal, HD (1366 x 768), micro-edge",60Hz,1.47kg
138,HP 245 G10,8J403PAAR6,AMD Ryzen 3 7320U,AMD Radeon Graphics,256 GB ,8 GB ,Windows 11,"Rp5.299.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate;",Essentials 9,HP,"(14"") diagonal, HD (1366 x 768)",60Hz,1.36 kg
139,HP 14S-DQ5127TU,8X184PA,Intel Core i3 1215U,Intel UHD Graphics,512 GB ,8 GB ,Windows 11,"Rp6.999.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate;",Essentials 10,HP,"(14"") diagonal, FHD (1920 x 1080)",60Hz,1.46 kg
140,HP 14S-DQ3109TU,7Z6W4PA,Intel Celeron N4500,Intel UHD Graphics,256 GB ,8 GB ,Windows 11,"Rp4.799.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate;",Essentials 11,HP,"(14"") diagonal, HD (1366 x 768)",60Hz,1.47kg
141,HP 14-EM0032AU,7N727PA,AMD Ryzen 3 7320U,AMD Radeon Graphics,512 GB ,8 GB ,Windows 11,"Rp6.849.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate;",Essentials 12,HP,"(14"") diagonal, FHD (1920 x 1080)",60Hz,1.4kg
142,HP PAVILION 14-EW0021TU,8R291PA,Intel Core i5 1335U,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp12.999.000,00","1 Thunderbolt 4 with USB Type-C,1 USB Type-C 10Gbps signaling rate",Pavillion 1,HP,"(14"") diagonal, WUXGA (1920 x 1200), IPS",60Hz,1.38kg
143,HP PAVILION AERO 13-BE2002AU,7L9C0PA,AMD Ryzen 5 7535U,Intel UHD Graphics,512 GB ,16 GB,Windows 11,"Rp11.999.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 2,HP,"(13.3"") diagonal, WUXGA (1920 x 1200), IPS",60Hz,0.9kg
144,HP PAVILION PLUS 14-EY0017AU,8R296PA,AMD Ryzen 5 7540U,AMD Radeon 740M Graphics,512 GB ,16 GB,Windows 11,"Rp11.999.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 3,HP," (14"") diagonal, WUXGA (1920 x 1200), IPS",60Hz,1.38kg
145,HP PAVILION X360 14-EK1095TU,8R285PA,Intel Core i3 1315U,Intel UHD Graphics,512 GB ,8 GB ,Windows 11,"Rp9.999.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 4,HP,"(14"") diagonal, FHD (1920 x 1080)",60Hz,1.51kg
146,HP PAVILION AERO 13-BE1003AU,669F0PA,AMD Ryzen 7 5825U,AMD Radeon Graphics,512 GB ,16 GB,Windows 11,"Rp12.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 5,HP,"(13.3"") diagonal, WUXGA (1920 x 1200), IPS",60Hz,0.9kg
147,HP PAVILION X36014-EK1005TU,7N725PA,Intel Core i5 1335U,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp13.299.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 6,HP,"(14"") diagonal, FHD (1920 x 1080), multitouch-enabled, IPS",60Hz,1.51kg
148,HP PAVILION X360 14-EK1070TU,88J10PA,Intel Core i7 1355U,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp15.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 7,HP,"(14"") diagonal, FHD (1920 x 1080), multitouch-enabled, IPS",60Hz,1.51kg
149,HP PAVILION PLUS 14-EW0017TU,8R289PA,Intel Core i7 1355U,Intel Iris Xe Graphics,1 TB ,16 GB,Windows 11,"Rp15.999.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 8,HP,"(14"") diagonal, 2.8K (2880 x 1800), OLED",120Hz,1.38kg
